;p_val;avg_logFC;clus6.mean;clus2.mean
Hpcal1;0.022442243;0.138111079;0.232554383;0.094443304
Paip2;0.022939014;-0.286013045;0.642069481;0.928082526
Slc25a12;0.023106656;-0.155417044;0.092711509;0.248128553
Ttc1;0.023388558;-0.219683689;0.26386307;0.48354676
Smim14;0.023906934;-0.281585535;0.762409806;1.043995342
Cox6a2;0.024005821;-0.158374212;0.079010448;0.23738466
Atp6v0e;0.024182485;0.261728578;1.311612937;1.049884359
Ssr3;0.024320684;-0.230706778;0.30384343;0.534550208
Fam50a;0.024468081;0.145701393;0.188363662;0.042662269
Timm10b;0.024820109;0.230943347;0.616584318;0.385640972
Tmem29;0.024900547;0.12287379;0.158630163;0.035756373
Cdkn1a;0.02492221;-0.218762807;0.269652592;0.4884154
Rgs10;0.025779939;0.21616729;0.434630862;0.218463572
Mknk2;0.025894303;-0.17845276;0.107708265;0.286161025
Gtpbp2;0.025894608;0.165932491;0.323097538;0.157165047
Rilpl2;0.025961555;-0.238610728;0.215947858;0.454558586
Lman1;0.026000176;-0.186753487;0.159117864;0.345871351
Zcchc6;0.026048621;0.175233613;0.318192956;0.142959344
1700025G04Rik;0.026048621;0.165899125;0.298717509;0.132818384
Siglecg;0.026050891;0.192773207;0.363320117;0.17054691
Ift52;0.026097111;-0.139185011;0.088346332;0.227531344
Tbl1xr1;0.026324587;0.187403206;0.38078848;0.193385274
Actb;0.027044988;0.338884098;3.784095856;3.445211758
Ahsa1;0.027066863;0.203023962;0.484525889;0.281501927
Atp6v1e1;0.027224748;0.221609498;0.513754166;0.292144669
Cd24a;0.027844046;-0.258175033;0.428145713;0.686320746
Chd4;0.027849428;-0.233871508;1.026691627;1.260563135
Plaa;0.028213428;-0.151569857;0.063692173;0.21526203
Ppif;0.028395605;-0.172511324;0.147778879;0.320290203
Bola1;0.028537303;-0.197359587;0.254804352;0.452163939
Atp6v1b2;0.028562844;0.160018737;0.28982204;0.129803303
Gspt1;0.028716254;-0.234776265;0.470795591;0.705571856
Thumpd1;0.028745417;-0.177599234;0.192973671;0.370572905
Rabgap1l;0.028780051;-0.228913811;0.292513;0.521426811
Fam60a;0.029005882;-0.193475938;0.252193377;0.445669315
Rictor;0.029136288;-0.138985768;0.090508383;0.229494152
Iqgap1;0.029154656;0.245779541;0.782949283;0.537169742
Ncf2;0.029201627;0.125681511;0.179005354;0.053323843
Tomm5;0.02924718;-0.253594688;0.649684216;0.903278903
Chchd4;0.029675242;-0.177837176;0.198924866;0.376762041
Mfsd10;0.030015999;0.159818409;0.309218114;0.149399705
Cotl1;0.03024445;0.281094426;1.049955136;0.76886071
Dpysl2;0.030353869;0.189225995;0.3323541;0.143128105
Pgam1;0.03061295;0.27035195;0.858297069;0.587945119
Cyb5a;0.03180835;0.221255056;0.61597948;0.394724424
Smc6;0.032048417;0.201383855;0.469838052;0.268454197
Polr1c;0.032084596;-0.182975234;0.169311553;0.352286787
Vcp;0.032340262;-0.261088727;0.716679829;0.977768556
Nup210;0.032579209;0.194686842;0.472613086;0.277926244
Hnrnpa1;0.032824789;-0.247721919;1.466138211;1.713860129
Ccdc12;0.033228564;0.264171808;1.115585622;0.851413814
Tcerg1;0.033288927;0.161421437;0.303035273;0.141613835
Rbbp6;0.033627479;-0.218281112;0.328870526;0.547151639
